geo,timeQuarter,yProb,yPredClass,clsModel,yPredReg,regModel,regSourceKey,clusterIdLatest,clusterLabelLatest,geo_label,iso3,clusterId,clusterName,meanAbs,maxAbs,topPositiveCats,topNegativeCats,timeQuarterStr,riskPct,riskFlag
MT,2025Q1,0.0010191544056660895,0,logit_thr_0.010_scenarioFixedX_2025,1.7350409964705642,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Malta,MLT,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.10191544056660895,0
NL,2025Q1,0.01288439239730931,1,logit_thr_0.010_scenarioFixedX_2025,4.610657780643333,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,0.0,"BroadAboveEU (CP10, CP11)",Netherlands,NLD,0,0 — Above-EU moderate (Services/Education-led divergence),1.374,2.589,CP10 (Education)=2.59; CP11 (Restaurants & hotels)=2.21; CP06 (Health)=2.15; CP12 (Miscellaneous goods & services)=1.35,"CP04 (Housing, water, electricity, gas & other fuels)=0.42; CP07 (Transport)=0.62; CP01 (Food & non-alcoholic beverages)=0.96; CP09 (Recreation & culture)=1.17",2025Q1,1.288439239730931,1
NO,2025Q1,0.00016420800229242677,0,logit_thr_0.010_scenarioFixedX_2025,2.594960849201533,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Norway,NOR,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.016420800229242676,0
PL,2025Q1,0.017199796874135136,1,logit_thr_0.010_scenarioFixedX_2025,5.754812931428779,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,0.0,"BroadAboveEU (CP10, CP11)",Poland,POL,0,0 — Above-EU moderate (Services/Education-led divergence),1.374,2.589,CP10 (Education)=2.59; CP11 (Restaurants & hotels)=2.21; CP06 (Health)=2.15; CP12 (Miscellaneous goods & services)=1.35,"CP04 (Housing, water, electricity, gas & other fuels)=0.42; CP07 (Transport)=0.62; CP01 (Food & non-alcoholic beverages)=0.96; CP09 (Recreation & culture)=1.17",2025Q1,1.7199796874135136,1
PT,2025Q1,0.003414326985365838,0,logit_thr_0.010_scenarioFixedX_2025,1.8830322277609637,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Portugal,PRT,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.3414326985365838,0
RO,2025Q1,0.02967743954755392,1,logit_thr_0.010_scenarioFixedX_2025,5.789016399603621,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,2.0,"BroadAboveEU (CP04, CP11)",Romania,ROU,2,2 — Above-EU high (Housing/Utilities-led divergence) (spiky),5.325,10.992,"CP04 (Housing, water, electricity, gas & other fuels)=10.99; CP11 (Restaurants & hotels)=8.55; CP01 (Food & non-alcoholic beverages)=6.88; CP12 (Miscellaneous goods & services)=6.33",CP02 (Alcoholic beverages & tobacco)=2.27; CP08 (Communication)=2.99; CP10 (Education)=3.30; CP03 (Clothing & footwear)=3.67,2025Q1,2.9677439547553917,1
RS,2025Q1,0.010665005510096578,1,logit_thr_0.010_scenarioFixedX_2025,5.690496189374304,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,0.0,"BroadAboveEU (CP10, CP11)",Serbia,SRB,0,0 — Above-EU moderate (Services/Education-led divergence),1.374,2.589,CP10 (Education)=2.59; CP11 (Restaurants & hotels)=2.21; CP06 (Health)=2.15; CP12 (Miscellaneous goods & services)=1.35,"CP04 (Housing, water, electricity, gas & other fuels)=0.42; CP07 (Transport)=0.62; CP01 (Food & non-alcoholic beverages)=0.96; CP09 (Recreation & culture)=1.17",2025Q1,1.0665005510096577,1
SE,2025Q1,3.627693624297042e-05,0,logit_thr_0.010_scenarioFixedX_2025,1.7902881059977995,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Sweden,SWE,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.003627693624297042,0
SI,2025Q1,1.7769218254977353e-05,0,logit_thr_0.010_scenarioFixedX_2025,1.255111385295888,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Slovenia,SVN,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.0017769218254977354,0
SK,2025Q1,0.0020262623572922796,0,logit_thr_0.010_scenarioFixedX_2025,4.035008000324672,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,0.0,"BroadAboveEU (CP10, CP11)",Slovakia,SVK,0,0 — Above-EU moderate (Services/Education-led divergence),1.374,2.589,CP10 (Education)=2.59; CP11 (Restaurants & hotels)=2.21; CP06 (Health)=2.15; CP12 (Miscellaneous goods & services)=1.35,"CP04 (Housing, water, electricity, gas & other fuels)=0.42; CP07 (Transport)=0.62; CP01 (Food & non-alcoholic beverages)=0.96; CP09 (Recreation & culture)=1.17",2025Q1,0.20262623572922794,0
